id,proyecto,provincia,tecnologia,ronda,potencia_mw,latitud,longitud,avance,estado,periodo_max,geojson
SFV-1006,P.S. GENERAL ALVEAR,MENDOZA,SOLAR,RENOVAR RONDA 1.5,17.6,-35.04015833,-67.66230278,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-67.66230278,-35.04015833]}"
SFV-1012,P.S. CAFAYATE,SALTA,SOLAR,RENOVAR RONDA 1.5,80,-26.02555556,-65.93888889,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.93888889,-26.02555556]}"
SFV-1015,P.S. NONOGASTA,LA RIOJA,SOLAR,RENOVAR RONDA 1.5,35,-29.32777778,-67.42388889,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.42388889,-29.32777778]}"
SFV-1018,P.S. FIAMBALÁ,CATAMARCA,SOLAR,RENOVAR RONDA 1.5,11,-27.63083889,-67.63233333,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.63233333,-27.63083889]}"
SFV-1020,P.S. TINOGASTA,CATAMARCA,SOLAR,RENOVAR RONDA 1.5,15,-28.03755278,-67.55464167,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.55464167,-28.03755278]}"
SFV-1021,P.S. SAUJIL,CATAMARCA,SOLAR,RENOVAR RONDA 1.5,22.5,-28.16330556,-66.22683611,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.22683611,-28.16330556]}"
SFV-1032,P.S. ULLUM III,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,32,-31.37222222,-68.67305556,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.67305556,-31.37222222]}"
SFV-1034,P.S. ANCHORIS,MENDOZA,SOLAR,RENOVAR RONDA 1.5,21.3,-33.30560278,-68.89276667,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.89276667,-33.30560278]}"
SFV-1036,P.S. CALDENES DEL OESTE,SAN LUIS,SOLAR,RENOVAR RONDA 1.5,24.75,-33.29868333,-66.38711944,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.38711944,-33.29868333]}"
SFV-1037,P.S. ULLUM IV,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,13.5,-31.38460833,-68.67795278,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.67795278,-31.38460833]}"
SFV-1041,P.S. LA CUMBRE,SAN LUIS,SOLAR,RENOVAR RONDA 1.5,22,-33.324908,-66.174025,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.174025,-33.324908]}"
SFV-1045,P.S. ULLUM II,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,25,-31.3287,-68.6757,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.6757,-31.3287]}"
SFV-1046,P.S. ULLUM I,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,25,-31.3325,-68.66698056,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.66698056,-31.3325]}"
SFV-1049,P.S. IGLESIA - ESTANCIA GUAÑIZUIL,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,80,-30.3573,-69.290625,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-69.290625,-30.3573]}"
SFV-1057,P.S. LAS LOMITAS,SAN JUAN,SOLAR,RENOVAR RONDA 1.5,1.7,-31.406006,-68.476417,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.476417,-31.406006]}"
SFV-13,P.S. LA PUNA,SALTA,SOLAR,RENOVAR RONDA 1,100,-24.14455,-66.91423056,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.91423056,-24.14455]}"
SFV-200,P.S. TINOGASTA II,CATAMARCA,SOLAR,RENOVAR RONDA 2,6.96,-28.03919477,-67.55929367,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.55929367,-28.03919477]}"
SFV-202,P.S. NONOGASTA IV,LA RIOJA,SOLAR,RENOVAR RONDA 2,1,-29.31234987,-67.42742023,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-67.42742023,-29.31234987]}"
SFV-202-01,P.S. SOLARES DE LA PUNTA,SAN LUIS,SOLAR,RESOLUCIÓN 202/2016,5,-33.194444,-66.35055,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.35055,-33.194444]}"
SFV-202-02,P.S. CERROS DEL SOL,SAN LUIS,SOLAR,RESOLUCIÓN 202/2016,5,-33.18764722,-66.35144444,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.35144444,-33.18764722]}"
SFV-206,P.S. VILLA DOLORES,CÓRDOBA,SOLAR,RENOVAR RONDA 2,26.85,-31.96798294,-65.17601039,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-65.17601039,-31.96798294]}"
SFV-207,P.S. TOCOTA,SAN JUAN,SOLAR,RENOVAR RONDA 2,72,-30.83278027,-69.44416334,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-69.44416334,-30.83278027]}"
SFV-211,P.S. NONOGASTA II,LA RIOJA,SOLAR,RENOVAR RONDA 2,20.04,-29.31467227,-67.42770379,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-67.42770379,-29.31467227]}"
SFV-212,P.S. AÑATUYA I,SANTIAGO DEL ESTERO,SOLAR,RENOVAR RONDA 2,6,-28.4372477,-62.85734273,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-62.85734273,-28.4372477]}"
SFV-218,P.S. LA PIRKA,CATAMARCA,SOLAR,RENOVAR RONDA 2,100,-29.21575315,-65.04668066,0.09,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-65.04668066,-29.21575315]}"
SFV-219,P.S. LOS ZORRITOS,CATAMARCA,SOLAR,RENOVAR RONDA 2,49.5,-28.81096288,-65.79111201,0.07,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-65.79111201,-28.81096288]}"
SFV-224,P.S. ULLUM X,SAN JUAN,SOLAR,RENOVAR RONDA 2,100,-31.37186424,-68.67237987,0.09,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.67237987,-31.37186424]}"
SFV-259,P.S. ALTIPLANO I,SALTA,SOLAR,RENOVAR RONDA 2,100,-24.14555556,-66.903075,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.903075,-24.14555556]}"
SFV-264,P.S. VERANO CAPITAL SOLAR ONE,MENDOZA,SOLAR,RENOVAR RONDA 2,99.9,-33.16664873,-68.86758738,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.86758738,-33.16664873]}"
SFV-266,P.S. ARROYO DEL CABRAL,CÓRDOBA,SOLAR,RENOVAR RONDA 2,40,-32.49661371,-63.42701079,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-63.42701079,-32.49661371]}"
